Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Dahili,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12500h-8gb-512gb-ssd-rtx4050-w11-15-6-fhd-144hz-gaming-laptop-nh-qlzey-002-p-773939037,26.999 TL
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,Yok,IPS,16 GB,DDR4,Siyah,256 GB,,,3.2,1920 x 1080,Full HD (FHD),11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ip3-82k101fqtx-i5-11320h-16gb-256gb-rtx3050ti-4gb-15-6-free-dos-m100-mouse-hediyeli-p-466806477,22.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR6,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11390H,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i7-11390h-16gb-512gb-ssd-rtx-3050ti-freedos-15-6-fhd-p-266431996,29.599 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.6,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-4-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-17-3-fhd-144-hz-p-736035477,30.999 TL
,USB,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.3,,,IPS,16 GB,DDR5,Siyah,1 TB,,,3.3,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//msi/cyborg-15-a12vf-077xtr-i5-12450h-16gb-ddr5-rtx4060-gddr6-8gb-1tb-ssd-15-6-fhd-144hz-dos-p-730306217,35.199 TL
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,Oyun,,,,IPS,8 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//lenovo/loq-12-nesil-core-i5-12450h-rtx3050-6gb-8gb-512gb-ssd-15-6-w11-p-779236201,25.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-4-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3060-freedos-15-6-inc-fhd-144-hz-p-674424445,34.499 TL
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,,IPS,16 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-57-i5-11400h-16gb-1tb-ssd-rtx3050-dos-15-6-fhd-notebook-nh-qeley-008-16-p-780239795,27.000 TL
32 GB,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Gri,512 GB,Gen 4,,3.2,1920 x 1080,Full HD (FHD),7735HS,13. Nesil,AMD Ryzen 7,16,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nv-lp038-amd-ryzen-7-7735hs-16gb-ddr5-512gb-ssd-8gb-rtx4060-15-6-144hz-dos-p-714314500,43.220 TL
,,,2 - 4 kg,Var,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,Oyun,,,Yok,,16 GB,DDR5,Mavi,SSD Yok,,,,3840 x 2160,FHD+,12700H,12. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//asus/zenbook-pro-duo-oled-12-nesil-core-i7-12700h-32gb-1tb-15-6-rtx3060-6gb-w11-p-355657108,184.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,16 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-4-6-intel-core-i7-11800h-16gb-ram-1-tb-ssd-rtx-3060-freedos-15-6-inc-fhd-144-hz-p-674423335,29.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,17 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR5,Siyah,4 TB,Gen 4,,2.2,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//monster/s7-v9-3-3-intel-core-i9-13980hx-64-gb-ram-4-tb-ssd-16-gb-rtx-4090-windows-11-17-qhd-240-hz-p-759726185,134.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Dahili,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,1 TB,Q Türkçe,Oyun,5.0,,Yok,IPS,16 GB,DDR4,Siyah,1 TB,,,3.7,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/victus-7n9v0ea-15-fa1028nt-i7-13700h-16gb-1tb-rtx3050-15-6inc-144hz-full-hd-freedos-gaming-laptop-p-669761896,31.199 TL
,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),i5-11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15ihu6-82k101hwtx-i5-8gb-512gb-ssd-rtx3050-120hz-fhd-freedos-gaming-laptop-p-770717614,23.799 TL
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-7p640ea-16-r0030nt-i7-13700h-16gb-1tb-rtx4050-6gb-16-1inc-144-hz-fhd-freedos-gaming-laptop-p-737388881,36.999 TL
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.7,,,,32 GB,DDR4,Metalik,1 TB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-i7-12700h-32gb-1tb-ssd-rtx3050-4gb-w11p-15-6-fhd-fx507zc4-hn009-p-674176805,"40.467,45 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-bfg0x-b-intel-core-i5-12450h-16-gb-ram-1-tb-nvme-ssd-gen4-4gb-rtx-2050-freedos-p-746289823,24.599 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn193-amd-ryzen-7-6800h-16gb-ddr5-512gb-ssd-rtx3050-15-6-fhd-144hz-dos-p-678471910,31.249 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Siyah,1 TB,Gen 4,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-4-intel-core-i5-12450h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273029,28.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,DDR4,Paylaşımlı,Dahili,90 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),13500H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//hp/victus-15-fa1025nt-core-i5-13500h-16gb-512gb-ssd-6gb-rtx-4050-15-6-w11-mika-gumus-7n9t3ea-p-773620973,29.694 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,64 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-efb0x-b-intel-core-i7-12650h-64gb-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672161676,37.999 TL
,HDMI - USB,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050,GDDR6,12 GB,Harici,144 Hz,,3 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,64 GB,DDR5,Siyah,4 TB,,,,3840 x 2160,Ultra HD 4K (UHD),13980HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//msi/creator-pro-x17hx-a13vks-211tr-i9-13980hx-64gb-ddr5-rtx3500-gddr6-12gb-4tb-ssd-17-3-uhd-144hz-w11p-p-710587317,173.279 TL
16 GB,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,24,Free Dos,,https://www.trendyol.com//dell/g15-5530-intel-core-i7-13650hx-16gb-512gb-ssd-rtx3050-6gb-15-6-fhd-120hz-ubuntu-gaming-laptop-p-759035241,33.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-bfa0x-b-intel-core-i5-12450h-16gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672181043,29.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,8 GB,DDR6,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11ucx-1623xtr-intel-core-i5-11400h-8gb-512gb-ssd-rtx2050-freedos-15-6-fhd-144hz-p-766710492,23.900 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t5-v23-2-2-intel-core-i7-12650h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-745868619,37.199 TL
32 GB,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,5.0,,Yok,IPS,16 GB,DDR4,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1018nt-7n9u6ea-i7-13700h-16-gb-1tb-ssd-rtx4050-144hz-15-6-dos-fhd-dizustu-bilgisayar-p-670259353,"38.499,99 TL"
32 GB,HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.9,,Yok,IPS,16 GB,DDR5,Siyah,512 GB,,,2.6,1920 x 1200,WUXGA,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g16-g614ju-n3195-intel-i7-13650hx-16gb-ddr5-512gb-ssd-6gb-rtx4050-16-wuxga-165hz-dos-p-661623406,42.399 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,TN,8 GB,DDR4,Siyah,500 GB,,,,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-3-intel-core-i7-11800h-8-gb-500-gb-ssd-rtx3050ti-freedos-15-6-fhd-p-117535061,27.099 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//casper/excalibur-g870-1265-dfb0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672187638,35.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.4,,Yok,IPS,8 GB,DDR4,Siyah,500 GB,,,2.5,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//casper/excalibur-g770-1245-8vh0t-b-intel-core-i5-12450h-8-gb-ram-500-gb-ssd-gen4-4gb-gtx-1650-windows-11-p-359358937,26.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//casper/excalibur-g870-1245-bvg0x-b-intel-core-i5-12450h-16-gb-ram-500-gb-nvme-ssd-gen4-4gb-rtx-2050-freedos-p-746289856,24.599 TL
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0029nt-intel-i7-13700h-ddr5-16gb-1tb-ssd-gen4-6gb-rtx-4050-16-1-freedos-laptop-7p6c1ea-p-736351908,35.999 TL
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.7,,Yok,IPS,32 GB,DDR4,Siyah,1 TB,,,3.5,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1265-dfj0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975792,29.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//acer/nitro-5-an515-46-amd-ryzen-7-6800h-16-gb-1-tb-ssd-rtx-3070ti-8-gb-freedos-15-6-fhd-144-hz-tasi-p-769678718,33.899 TL
16 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Siyah,512 GB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15iah7-i5-12450h-16gb-512gb-ssd-4gb-rtx-3050-ti-15-6-fhd-fdos-82s9013vtx-p-739407614,25.999 TL
16 GB,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Gri,512 GB,Gen 3,,3.3,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-ips-tasinabilir-bi-p-784770988,24.599 TL
,,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,64 GB,DDR5,Siyah,2 TB,,,,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,16,Free Dos,,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6079-16gb-rtx4090-13-nesil-i9-13980hx-64gb-2tb-ssd-18-qhd-240hz-p-677944043,150.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-3-3-intel-core-i7-11800h-32gb-1tb-ssd-rtx3050ti-windows-11-15-6-fhd-p-134421217,31.499 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,17 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR5,Siyah,2 TB,Gen 4,,2.2,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//monster/semruk-s7-v9-3-2-intel-core-i9-13980hx-64-gb-ram-2-tb-ssd-16-gb-rtx-4090-freedos-17-qhd-240-hz-p-759344050,138.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,,,16 GB,DDR4,Gri,512 GB,,,2.7,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-i5-11400h-16gb-ram-512gb-ssd-4gb-rtx2050-15-6-fhd-144hz-fdos-fx506hf-hn028-p-664304168,"29.049,57 TL"
,USB,,2 - 4 kg,Yok,"15,6 inç",AMD Radeon RX6500M,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),5600H,5. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//hp/victus-gaming-laptop-15-fb0015nt-r5-5600h-16gb-512gb-ssd-rx6500m-15-6-fhd-144hz-w11home-7j3t4ea-p-699618894,"26.016,21 TL"
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11320H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82k101eltx03-i5-11320h-16gb-512ssd-rtx3050-15-6-fullhd-w11h-tasinabilir-bil-p-463450186,"26.531,01 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,8 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-11320h-8gb-512gb-ssd-gtx1650-freedos-15-6-82k101lxtxa17-p-767235964,22.399 TL
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//hp/victus-16-r0052nt-i5-13500h-16gb-ram-512gb-ssd-6gb-rtx-4050-16-1-inc-fhd-freedos-siyah-7p6l8ea-p-749859312,30.500 TL
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//dell/gaming-g15-5530-g155530010u-i7-13650hx-16gb-512gb-rtx4050-165hz-fhd-ubuntu-gaming-lapto-p-748649094,36.199 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/loq-amd-ryzen-7-7840hs-16gb-512gb-ssd-rtx4060-8gb-dos-15-6-144hz-gaming-laptop-82xt00bhtx-p-772120069,36.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/abra-a7-v14-6-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736035504,34.199 TL
